deployment,chain,generation,exp_id,game_number,game_name,message,edit_distance,sentence,sentence_number,sentence_is_duplicate
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,4,relational_v1,"You are the white square, try pushing the blocks around to find the goal of the game.",0,"You are the white square, try pushing the blocks around to find the goal of the game.",0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,5,sokoban_v1,The goal is to get the light green squares into the red squares.,0,The goal is to get the light green squares into the red squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,73,You can use the spacebar to break down the grey squares.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,73,Let the red squares reach the green square in as few moves as possible.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,7,zelda_v1,Avoid the pink squares! Try to get to the green square.,32,Avoid the pink squares!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,7,zelda_v1,Avoid the pink squares! Try to get to the green square.,32,Try to get to the green square.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,8,plaqueattack_v1,"Avoid the orange squares, you will lose points!",0,"Avoid the orange squares, you will lose points!",0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,9,avoid_george_v1,Use the spacebar to turn the purple squares back to green and avoid the beige square.,41,Use the spacebar to turn the purple squares back to green and avoid the beige square.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,0,Get all the green squares as fast as you can to win the game!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,0,Light orange moves on to the next level.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",93,The goal is to get the yellow squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",93,Get all the white squares for protection from the green.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",93,One white square for one green square.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",93,"You can stack more than one white square as well, to get through more than one green square.",3,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,The goal is to get the yellow block.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,Watch out for the orange blocks.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,You can use the green blocks to protect yourself by pushing them.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,Make sure the green squares have room to move.,3,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,13,Try to get the brown square but watch out for the turquoise squares (light blue)!,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,13,You can push the blue squares around to protect you!,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,13,Don't block the blue squares with the walls or each other.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",70,"You are the white square, move the orange blocks onto the purple squares.",0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",70,And then move the blue squares on top of that to win.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,86,The goal is to get the light green squares into the red squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,86,You can go through the red squares freely without losing the game or getting blocked.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,0,You can use the spacebar to break down the grey squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,0,Let the red squares reach the green square in as few moves as possible.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,7,zelda_v1,Avoid the moving pink squares! Try to get to the green square without them hitting you.,32,Avoid the moving pink squares!,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,7,zelda_v1,Avoid the moving pink squares! Try to get to the green square without them hitting you.,32,Try to get to the green square without them hitting you.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,8,plaqueattack_v1,"Avoid the orange squares, you will lose points!",0,"Avoid the orange squares, you will lose points!",0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,B1aSGZ8ed,9,avoid_george_v1,Use the spacebar to turn the purple squares back to green and avoid the beige square.,0,Use the spacebar to turn the purple squares back to green and avoid the beige square.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,0,Get all the green squares as fast as you can to win the game!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,0,Light orange moves on to the next level.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",0,The goal is to get the yellow squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",0,Get all the white squares for protection from the green.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",0,One white square for one green square.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",0,"You can stack more than one white square as well, to get through more than one green square.",3,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,The goal is to get the yellow block.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,Watch out for the orange blocks.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,You can use the green blocks to protect yourself by pushing them.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,0,Make sure the green squares have room to move.,3,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,0,Try to get the brown square but watch out for the turquoise squares (light blue)!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,0,You can push the blue squares around to protect you!,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,0,Don't block the blue squares with the walls or each other.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",0,"You are the white square, move the orange blocks onto the purple squares.",0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",0,And then move the blue squares on top of that to win.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,0,The goal is to get the light green squares into the red squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,0,You can go through the red squares freely without losing the game or getting blocked.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,0,You can use the spacebar to break down the grey squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,0,Let the red squares reach the green square in as few moves as possible.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,7,zelda_v1,Avoid the moving pink squares! Try to get to the green square without them hitting you.,0,Avoid the moving pink squares!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,7,zelda_v1,Avoid the moving pink squares! Try to get to the green square without them hitting you.,0,Try to get to the green square without them hitting you.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,8,plaqueattack_v1,"Avoid the orange squares, you will lose points!",0,"Avoid the orange squares, you will lose points!",0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,SkvhnGUxO,9,avoid_george_v1,Use the spacebar to turn the purple squares back to green and avoid the beige square.,0,Use the spacebar to turn the purple squares back to green and avoid the beige square.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :),28,Get all the green squares as fast as you can to win the game!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :),28,Light orange moves on to the next level.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :),28,This is very good advice :),2,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",102,The goal is to get the yellow squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",102,Get all the white squares for protection from the green.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",102,One white square for one green square.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",102,"You can stack more than one white square as well, to get through more than one green square.",3,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,1,preconditions_v1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",102,Be careful to stay away from the green squares unless you really have to - they will cost you a life!,4,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,56,The goal is to get the yellow block.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,56,Watch out for the orange blocks.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,56,You can use the green blocks to protect yourself by pushing them.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,56,Make sure the green squares have room to move.,3,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,56,Look at where you want to go before you make your move.,4,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start.,40,Try to get the brown square but watch out for the turquoise squares (light blue)!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start.,40,You can push the blue squares around to protect you!,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start.,40,Don't block the blue squares with the walls or each other.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start.,40,Figure out your route before you start.,3,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares.",85,"You are the white square, move the orange blocks onto the purple squares.",0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares.",85,And then move the blue squares on top of that to win.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,4,relational_v1,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares.",85,"If you can find the purple squares, good for you as I didn't have any purple squares.",2,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares.,68,The goal is to get the light green squares into the red squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares.,68,You can go through the red squares freely without losing the game or getting blocked.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,5,sokoban_v1,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares.,68,Plan your route before you start and don't block the green squares.,2,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.,82,You can use the spacebar to break down the grey squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.,82,Let the red squares reach the green square in as few moves as possible.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,6,lemmings_var2_v1,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.,82,Try to make it as easy as possible for the red squares to reach the green square.,2,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,Byza-lPlO,7,zelda_v1,Avoid the moving pink squares! Try to get to the green square without them hitting you. You may have to get to the orange square as well. I don't really know to be honest.,84,Avoid the moving pink squares!,0,True
