deployment,chain,game_number,game_name,message
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,2,relational_v1,"[""couldn't figure this one out."", 'You have to push the blocks into eachother. \nLevel 2+ you have to push the orange ones into the ones that you go through in order to push the last ones in', 'You have to push the blocks into eachother. \nLevel 2+ you have to push the orange ones into the ones that you go through in order to push the last ones in', 'You have to push the blocks into eachother. \nLevel 2+ you have to push the orange ones into the ones that you go through in order to push the last ones in', 'You have to push the blocks into each other. \nLevel 2+ you have to push the orange ones into the ones that you go through in order to push the last ones in', 'You are the white block this time. You need to push the blue blocks into the off-white/eggshell blocks to win. If there are no off-white/eggshell blocks, (1) “bump” into a red block OR (2) push an orange/salmon block into a purple block, and it becomes an off-white/eggshell block that you can push a blue block into.', 'You are the white block this time. You need to push the blue blocks into the off-white/eggshell blocks to win. If there are no off-white/eggshell blocks, (1) “bump” into a red block OR (2) push an orange/salmon block into a purple block, and it becomes an off-white/eggshell block that you can push a blue block into.', 'You are the white block this time. You need to push the blue blocks into the off-white/eggshell blocks to win. If there are no off-white/eggshell blocks, (1) “bump” into a red block OR (2) push an orange/salmon block into a purple block, and it becomes an off-white/eggshell block that you can push a blue block into.', 'As the white block you need to push the blue blocks into the pastel yellow blocks to win. \n\nIf there are no pastel yellow blocks, (1) “bump” into a red block OR (2) push an orange/salmon block into a purple block, and it becomes a pastel yellow block that you can push a blue block into.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,3,plaqueattack_v1,"['concentrate on the bottom yellow blocks, save them somehow.', ""Use Space to shoot the falling orange blocks... Don't let them touch the yellow blocks at the bottom"", ""Use Space to shoot the falling orange blocks... Don't let them touch the yellow blocks at the bottom"", ""Use Space to shoot the falling orange blocks... Don't let them touch the yellow blocks at the bottom"", ""Use Space bar to shoot the falling orange blocks... Don't let them touch the yellow blocks at the bottom. Move arrow keys when needed."", ""This game moves fast! Use Space bar to shoot the falling orange blocks. The orange blocks can also move left and right! Don't let the orange blocks touch the yellow blocks at the bottom. Move arrow keys when needed. Your “bullets” go in the direction of the arrow that you last pressed."", ""This game moves fast! Use Space bar to shoot the falling orange/brown blocks. The orange/brown blocks can also move left and right! Don't let the orange blocks touch the yellow blocks at the bottom. Move arrow keys when needed. Your “bullets” go in the direction of the arrow that you last pressed. A good strategy is going to the side and spamming the spacebar"", ""This game moves fast! Use Space bar to shoot the falling orange/brown blocks. The orange/brown blocks can also move left and right! Don't let the orange blocks touch the yellow blocks at the bottom. Move arrow keys when needed. Your “bullets” go in the direction of the arrow that you last pressed. A good strategy is going to the side and spamming the spacebar"", ""This game moves fast! Use Space bar to shoot the falling orange/brown blocks. The orange/brown blocks can also move left and right! Don't let the orange blocks touch the yellow blocks at the bottom. Move arrow keys when needed. Your “bullets” go in the direction of the arrow that you last pressed. A good strategy is going to the side and spamming the spacebar""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,4,avoid_george_v1,"['Do not make contact with yellow block or you lose a life.', 'Do not make contact with yellow block or you lose a life.\nYellow block goes around turning the Green ones Purple... You have to go around using your SPACE BAR to turn them back to green', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green.', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green.', 'Do not make contact with Yellow block or you lose a life. Yellow block goes around turning the Green ones Purple so you have to go around using your SPACE BAR to turn them back to Green. Must do this before all green blocks are gone.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,5,watergame_v1,"['push purple blue blocks into light blue blocks, do not touch the light blue blocks\n', 'push purple blue blocks into light blue blocks, do not touch the light blue blocks\n', 'push purple blue blocks into light blue blocks, do not touch the light blue blocks\n', 'push purple blue blocks into light blue blocks, do not touch the light blue blocks\n', 'push purple blue blocks into light blue blocks, do not touch the light blue blocks\n', 'Goal: Push purple blocks into light blue blocks, do not touch the light blue blocks.\nTake Care! It’s very easy to get “stuck” by accidentally pushing the purple blocks into a corner (making it impossible to move them). Also, you can’t move two blocks at once—another way to get stuck.', 'Goal: Push purple blocks into light blue blocks, do not touch the light blue blocks.\nTake Care! It’s very easy to get “stuck” by accidentally pushing the purple blocks into a corner (making it impossible to move them). Also, you can’t move two blocks at once—another way to get stuck. Be careful about pushing the blocks against an edge at all', 'Goal: Push purple blocks into light blue blocks, do not touch the light blue blocks.\nTake Care! It’s very easy to get “stuck” by accidentally pushing the purple blocks into a corner (making it impossible to move them). Also, you can’t move two blocks at once—another way to get stuck. Be careful about pushing the blocks against an edge at all', 'Goal: Push purple blocks into light blue blocks, do not touch the light blue blocks.\nTake Care! It’s very easy to get “stuck” by accidentally pushing the purple blocks into a corner (making it impossible to move them). Also, you can’t move two blocks at once—another way to get stuck. Be careful about pushing the blocks against an edge at all']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,6,sokoban_v1,"['push green blocks into red blocks, plan it out first.', 'push green blocks into red blocks, plan it out first. One wrong move can end it', 'push green blocks into red blocks, plan it out first. One wrong move can end it', 'push green blocks into red blocks, plan it out first. One wrong move can end it', 'push green blocks into red blocks, plan it out first. One wrong move can end it', 'push green blocks into red blocks, plan it out first. One wrong move can end it. Red blocks are safe to navigate through.', 'push green blocks into red blocks, plan it out first. One wrong move can end it. Red blocks are safe to navigate through. Multiple green blocks can go into 1 red block. Red blocks do not go away after a green block is pushed into them. ', 'push green blocks into red blocks, plan it out first. One wrong move can end it. Red blocks are safe to navigate through. Multiple green blocks can go into 1 red block. Red blocks do not go away after a green block is pushed into them. ', ""Push green blocks into red blocks. Don't move blocks into a corner otherwise you will be stuck. Red blocks are safe to navigate through. Multiple green blocks can go into 1 red block. Red blocks do not go away after a green block is pushed into them. ""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,7,zelda_v1,"['avoid pink blocks', 'avoid pink & Brown blocks. Grab the Orange block and get to the Green one after that to win.', 'avoid pink & Brown blocks. Grab the Orange block and get to the Green one after that to win.', 'avoid pink & Brown blocks. Grab the Orange block and get to the Green one after that to win.', 'avoid pink & Brown blocks. Grab the Orange block and get to the Green one after that to win.', 'avoid pink & Brown blocks. Grab the Orange block and get to the Green one after that to win.', 'avoid pink & Brown & yellow blocks. Grab the Orange block and get to the Green one after that to win. They move like pacman ghosts. ', 'avoid pink & Brown & yellow blocks. Grab the Orange block and get to the Green one after that to win. They move like pacman ghosts. ', 'avoid pink & Brown & yellow blocks. Grab the Orange block and get to the Green one after that to win. They move like pacman ghosts. ']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,8,lemmings_var2_v1,"['avoid light blue blocks', 'avoid light blue blocks, you can press space bar on dark blue blocks', 'Avoid light blue blocks. Press spacebar on dark blue blocks. Avoid any moving blocks.', 'Avoid light blue blocks. Press spacebar on dark blue blocks. Avoid any moving blocks.', 'Avoid light blue blocks. Press spacebar on dark blue blocks. Avoid any moving blocks. Not sure what green block is there for.', 'Avoid light blue blocks. Press spacebar on dark blue blocks and the turn into a white block that “eats” the grey blocks. Avoid any moving blocks. Let the red blocks enter the green block for points. ', 'Avoid light blue blocks. Press spacebar on dark blue blocks and the turn into a white block that “eats” the grey blocks. Avoid any moving blocks. Let the red blocks enter the green block for points.', 'Avoid light blue blocks. Press spacebar on dark blue blocks and the turn into a white block that “eats” the grey blocks. Avoid any moving blocks. Let the red blocks enter the green block for points.', 'Avoid light blue blocks. Press spacebar on dark blue blocks and the turn into a white block that “eats” the grey blocks. Avoid any moving blocks. Let the red blocks enter the green block for points.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,9,push_boulders_v1,"['avoid pink blocks', 'avoid pink & orange blocks.\nPush Green blocks into the Orange ones to get rid of them.. Make it to the Yellow block to win', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them and make it to the Yellow block to win. ', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them and make it to the Yellow block to win. ', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them and make it to the Yellow block to win. ', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them if they’re in your way. Push green blocks into pink blocks to move the pink blocks.\nGoal: make it to the Yellow block to win.', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them if they’re in your way. Push green blocks into pink blocks to move the pink blocks.\nGoal: make it to the Yellow block to win.', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them if they’re in your way. Push green blocks into pink blocks to move the pink blocks.\nGoal: make it to the Yellow block to win.', 'Avoid pink & orange blocks. Push Green blocks into the Orange ones to get rid of them if they’re in your way. Push green blocks into pink blocks to move the pink blocks.\nGoal: make it to the Yellow block to win. Try not to place the green blocks together otherwise you will be stuck.']"
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,0,explore_exploit_v1,"['Collect all of the green cubes if possible. If some green cubes are impossible to collect, collect all of the light orange cubes in addition to the green cubes that you can collect.', ""Collect all of the green cubes if possible. If some green cubes are impossible to collect, collect all of the light orange cubes in addition to the green cubes that you can collect. You don't need to collect any other cubes. Aim to collect the light orange cubes first if there are only green and light orange cubes. "", 'You play as the dark blue cube. Collect all of the green cubes if possible. If it is not possible, collect all of the light orange cubes, and then the green cubes that you CAN collect. If there are only green and light orange cubes, collect the light orange cubes first, and then the green cubes.', 'You play as the dark blue cube. Collect all of the green cubes if possible. If it is not possible, collect green cubes that you CAN collect, and then collect all of the light orange cubes. If you collect all green or light orange cubes, the level ends.', 'You play as the dark blue cube. Collect all of the green cubes if possible. If it is not possible, collect green cubes that you CAN collect, and then collect all of the light orange cubes. If you collect all green cubes, the level ends. If not, then all possible green then orange cubes to end the level.', 'You play as the dark blue cube. Collect all of the green cubes you can to win. You may also need to collect the light orange cubes to end the level. Ignore cubes of other colors.', 'You play as the dark blue cube. Collect all of the green cubes you can to win. You may also need to collect the light orange cubes to end the level. Ignore cubes of other colors. There may be a scenario where you might not be able to get the green cube, ignore that and go for the light orange cube. ', 'You play as the dark blue cube. Collect all of the green cubes you can to win. You may also need to collect the light orange cubes to end the level. Ignore cubes of other colors. There may be a scenario where you might not be able to get the green cube, ignore that and go for the light orange cube. You have to press the arrow key for each move, which takes some time. You should move in straight lines as much as possible towards the green cubes.']"
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,1,preconditions_v1,"['Collect the single yellow cube to win. Green cubes are harmful, however, collecting white cubes will allow you to pass through a number of green cubes safely, depending on the number of white cubes you collected.', 'Collect the single yellow cube to win. Green cubes are harmful, however, collecting white cubes will allow you to pass through a number of green cubes safely, depending on the number of white cubes you collected. First collect as many white cubes as possible.', 'You play as the dark blue cube. The goal is to get to the yellow cube. Green cubes harm you, but white cubes allow you to pass through green cubes once you collect them. One white cube is equal to one pass through a green cube. Collect as many white cubes as possible first.', 'You play as the dark blue cube. The goal is to get to the yellow cube. Green cubes harm you, but white cubes allow you to pass through green cubes once you collect them. One white cube is equal to one pass through a green cube. Collect as many white cubes as possible first to fill up your health bar.', 'You play as the dark blue cube. The goal is to get to the yellow cube. Collecting white cubes lets you pass through and remove harmful green cubes. One white cube is equal to one pass through a green cube. Collect as many white cubes as possible first to fill up your health bar.', 'You play as the dark blue cube. The goal is to get to the yellow cube. Collecting white cubes lets you pass through and remove harmful green cubes. One white cube cancels out one green cube. You may need to work in turns to get to the yellow cube eventually.', ""You play as the dark blue cube. The goal is to get to the yellow cube. Collecting white cubes lets you pass through and remove harmful green cubes. One white cube cancels out one green cube. You may need to work in turns to get to the yellow cube eventually. The bar represents how many white cubes you've collected. Ignore all other colors besides white and green. "", ""You play as the dark blue cube. The goal is to get to the yellow cube. Collecting white cubes lets you pass through and remove harmful green cubes. One white cube cancels out one green cube. You may need to work in turns to get to the yellow cube eventually. The bar represents how many white cubes you've collected. Ignore all other colors besides white and green. It's not as hard as it sounds. Just always touch a white for every green you have to touch.""]"
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,2,watergame_v1,"['Light blue tiles can harm you. Dark blue tiles can be pushed around, however only one can be pushed at a time. Push the dark blue tiles on the light blue tiles to clear them. The goal is the brown tile.', 'Light blue tiles can harm you. Dark blue tiles can be pushed around, however only one can be pushed at a time. Push the dark blue tiles on the light blue tiles to clear them. The goal is the brown tile.', 'Light blue tiles can harm you. Dark blue tiles can be pushed around, however only one can be pushed at a time. Push the dark blue tiles on the light blue tiles to clear them. The goal is the brown tile.', 'You play as the dark blue tile. Light blue tiles can harm you. Purple tiles can be pushed around, however only one can be pushed at a time. Push the purple tiles on the light blue tiles to clear them. The goal is to get to the brown tile.', 'You play as the dark blue tile. Light blue tiles can harm you. Purple tiles can be pushed around, however only one can be pushed at a time. Push the purple tiles onto the light blue tiles to clear them. The goal is to get to the brown tile.', 'You play as the dark blue tile. The goal is to get to the brown tile. Light blue tiles can harm you. Purple tiles can be pushed around; however, only one can be pushed at a time. Push the purple tiles onto the light blue tiles to clear them. ', 'You play as the dark blue tile. The goal is to get to the brown tile. Light blue tiles can harm you. Purple tiles can be pushed around; however, only one can be pushed at a time. Push the purple tiles onto the light blue tiles to clear them. Be very careful and analyze the situation and your strategy first before beginning.  ', 'You play as the dark blue tile. The goal is to get to the brown tile. Light blue tiles can harm you. Purple tiles can be pushed around; however, only one can be pushed at a time. Push the purple tiles onto the light blue tiles to clear them. Be very careful and analyze the situation and your strategy first before beginning.  Move very slow and carefully, you can get stuck very easily.']"
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,3,zelda_v1,"['Carry the red block to the green goal. Other cubes can harm you. Every movement counts.', 'Carry the red block to the green goal. Other cubes can harm you. Every movement counts.', 'You are the dark blue block. Pass over the orange block to pick it up. Your goal is the green block. The other cubes will be moving randomly and will harm you.', 'You are the dark blue block. Pass over the orange block to pick it up. Your goal is the green block. You have to get to the green block while carrying the orange block to pass the level. The other cubes will be moving randomly and will harm you.', 'You are the dark blue block. Pass over the orange block to pick it up. Your goal is the green block. You have to get to the green block while carrying the orange block to pass the level. The other cubes will be moving quickly randomly and will harm you.', 'You are the dark blue block. Pass over the orange block to pick it up. Your goal is the green block. You have to get to the green block while carrying the orange block to pass the level. The other cubes will be moving quickly and randomly and will harm you.', 'You are the dark blue block. Pass over the orange block to pick it up. Your goal is the green block. You have to get to the green block while carrying the orange block to pass the level. The other cubes will be moving quickly and randomly and will harm you. Be sure to quickly get out of the spawn area. ', ""You are the dark blue block. Pass over the orange block to pick it up. Your goal is the green block. You have to get to the green block while carrying the orange block to pass the level. The other cubes will be moving quickly and randomly and will harm you. Be sure to quickly get out of the spawn area. Don't stop and wait for a block too long, it will cost you lives.""]"
