deployment,exp_id,val_id,game_name,game_number,message,passed_count,chain,generation,received_messages,received_from_id,edit_distance,diff_list,diff_del_count,diff_add_count,diff_unchanged_count
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,1,Bkh-iyIgu,1,Get all the green squares as fast as you can to win the game!,Bkh-iyIgu,41,"['Get all the green squares as fast as you can to win the game!', 'ADD( Light orange moves on to the next level.)']",0.0,41.0,61.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,preconditions_v1,1,The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.,1,Bkh-iyIgu,1,The goal is to get the yellow squares. Get all the white squares for protection from the green.,Bkh-iyIgu,39,"['The goal is to get the yellow squares. Get all the white squares for protection from the green.', 'ADD( One white square for one green square.)']",0.0,39.0,95.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,1,Bkh-iyIgu,1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.,Bkh-iyIgu,47,"['The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.', 'ADD( Make sure the green squares have room to move.)']",0.0,47.0,135.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,1,Bkh-iyIgu,1,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ,Bkh-iyIgu,58,"['Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ', ""ADD(Don't block the blue squares with the walls or each other.)""]",0.0,58.0,122.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,relational_v1,4,"You are the white square, try pushing the blocks around to find the goal of the game.",1,Bkh-iyIgu,1,"You are the white square, try pushing the blocks around to find the goal of the game.",Bkh-iyIgu,0,"['You are the white square, try pushing the blocks around to find the goal of the game.']",0.0,0.0,85.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,sokoban_v1,5,The goal is to get the light green squares into the red squares.,1,Bkh-iyIgu,1,The goal is to get the light green squares into the red squares.,Bkh-iyIgu,0,['The goal is to get the light green squares into the red squares.'],0.0,0.0,64.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,1,Bkh-iyIgu,1,You can use the spacebar but I'm not sure what the goal of the game is. sorry!,Bkh-iyIgu,73,"['You can use the spacebar ', 'ADD(to )', 'b', 'DEL(u)', 'ADD(reak down )', 't', 'ADD(he)', ' ', 'ADD(grey)', ""DEL(I'm not)"", ' s', 'ADD(q)', 'u', 'ADD(a)', 're', 'ADD(s.)', ' ', 'ADD(Le)', 'DEL(wha)', 't the ', 'DEL(go)', 'ADD(red squ)', 'a', 'DEL(l)', 'ADD(res)', ' ', 'DEL(of)', 'ADD(reach)', ' the g', 'ADD(reen squ)', 'a', 'DEL(m)', 'ADD(r)', 'e i', 'ADD(n a)', 's', 'ADD( few moves as possible)', '.', 'DEL( sorry!)']",20.0,70.0,58.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,zelda_v1,7,Avoid the pink squares! Try to get to the green square.,1,Bkh-iyIgu,1,Avoid the pink squares!,Bkh-iyIgu,32,"['Avoid the pink squares!', 'ADD( Try to get to the green square.)']",0.0,32.0,23.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,1,"Avoid the orange squares, you will lose points!",Bkh-iyIgu,0,"['Avoid the orange squares, you will lose points!']",0.0,0.0,47.0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,1,Use the spacebar and avoid the beige square.,Bkh-iyIgu,41,"['Use the spacebar', 'ADD( to turn the purple squares back to green)', ' and avoid the beige square.']",0.0,41.0,44.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,1,Bkh-iyIgu,2,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,r14aNl8eO,0,['Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.'],0.0,0.0,102.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,preconditions_v1,1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",1,Bkh-iyIgu,2,The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.,r14aNl8eO,93,"['The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.', 'ADD( You can stack more than one white square as well, to get through more than one green square.)']",0.0,93.0,134.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,1,Bkh-iyIgu,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,r14aNl8eO,0,['The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.'],0.0,0.0,182.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,1,Bkh-iyIgu,2,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,r14aNl8eO,13,"['Try to get the brown square but watch out for the turquoise squares', 'ADD( (light blue))', ""! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.""]",0.0,13.0,180.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,relational_v1,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",1,Bkh-iyIgu,2,"You are the white square, try pushing the blocks around to find the goal of the game.",r14aNl8eO,70,"['You are the white square, ', 'ADD(move)', 'DEL(try pushing)', ' th', 'ADD(e orang)', 'e blocks ', 'DEL(ar)', 'o', 'DEL(u)', 'n', 'DEL(d )', 'to ', 'DEL(fi)', 'ADD(the purple squares. A)', 'nd the', 'ADD(n)', ' ', 'DEL(g)', 'ADD(m)', 'o', 'ADD(ve the blue squ)', 'a', 'DEL(l)', 'ADD(res on top)', ' of th', 'DEL(e)', 'ADD(at)', ' ', 'DEL(game)', 'ADD(to win)', '.', 'ADD( )']",24.0,67.0,61.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,sokoban_v1,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,1,Bkh-iyIgu,2,The goal is to get the light green squares into the red squares.,r14aNl8eO,86,"['The goal is to get the light green squares into the red squares.', 'ADD( You can go through the red squares freely without losing the game or getting blocked.)']",0.0,86.0,64.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,1,Bkh-iyIgu,2,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,r14aNl8eO,0,['You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.'],0.0,0.0,128.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,zelda_v1,7,Avoid the moving pink squares! Try to get to the green square without them hitting you.,1,Bkh-iyIgu,2,Avoid the pink squares! Try to get to the green square.,r14aNl8eO,32,"['Avoid the', 'ADD( moving)', ' pink squares! Try to get to the green square', 'ADD( without them hitting you)', '.']",0.0,32.0,55.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,2,"Avoid the orange squares, you will lose points!",r14aNl8eO,0,"['Avoid the orange squares, you will lose points!']",0.0,0.0,47.0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,2,Use the spacebar to turn the purple squares back to green and avoid the beige square.,r14aNl8eO,0,['Use the spacebar to turn the purple squares back to green and avoid the beige square.'],0.0,0.0,85.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,1,Bkh-iyIgu,3,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,B1aSGZ8ed,0,['Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.'],0.0,0.0,102.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,preconditions_v1,1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",1,Bkh-iyIgu,3,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",B1aSGZ8ed,0,"['The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.']",0.0,0.0,227.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,1,Bkh-iyIgu,3,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,B1aSGZ8ed,0,['The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.'],0.0,0.0,182.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,1,Bkh-iyIgu,3,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,B1aSGZ8ed,0,"[""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.""]",0.0,0.0,193.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,relational_v1,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",1,Bkh-iyIgu,3,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",B1aSGZ8ed,0,"['You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ']",0.0,0.0,128.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,sokoban_v1,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,1,Bkh-iyIgu,3,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,B1aSGZ8ed,0,['The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.'],0.0,0.0,150.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,1,Bkh-iyIgu,3,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,B1aSGZ8ed,0,['You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.'],0.0,0.0,128.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,zelda_v1,7,Avoid the moving pink squares! Try to get to the green square without them hitting you.,1,Bkh-iyIgu,3,Avoid the moving pink squares! Try to get to the green square without them hitting you.,B1aSGZ8ed,0,['Avoid the moving pink squares! Try to get to the green square without them hitting you.'],0.0,0.0,87.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,3,"Avoid the orange squares, you will lose points!",B1aSGZ8ed,0,"['Avoid the orange squares, you will lose points!']",0.0,0.0,47.0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,3,Use the spacebar to turn the purple squares back to green and avoid the beige square.,B1aSGZ8ed,0,['Use the spacebar to turn the purple squares back to green and avoid the beige square.'],0.0,0.0,85.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :),1,Bkh-iyIgu,4,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,SkvhnGUxO,28,"['Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.', 'ADD( This is very good advice :))']",0.0,28.0,102.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,preconditions_v1,1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",1,Bkh-iyIgu,4,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",SkvhnGUxO,102,"['The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.', 'ADD( Be careful to stay away from the green squares unless you really have to - they will cost you a life!)']",0.0,102.0,227.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,1,Bkh-iyIgu,4,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,SkvhnGUxO,56,"['The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.', 'ADD( Look at where you want to go before you make your move.)']",0.0,56.0,182.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start.,1,Bkh-iyIgu,4,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,SkvhnGUxO,40,"[""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other."", 'ADD( Figure out your route before you start.)']",0.0,40.0,193.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,relational_v1,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares.",1,Bkh-iyIgu,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",SkvhnGUxO,85,"['You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ', ""ADD(If you can find the purple squares, good for you as I didn't have any purple squares.)""]",0.0,85.0,128.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,sokoban_v1,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares.,1,Bkh-iyIgu,4,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,SkvhnGUxO,68,"['The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.', ""ADD( Plan your route before you start and don't block the green squares.)""]",0.0,68.0,150.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.,1,Bkh-iyIgu,4,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,SkvhnGUxO,82,"['You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.', 'ADD( Try to make it as easy as possible for the red squares to reach the green square.)']",0.0,82.0,128.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,zelda_v1,7,Avoid the moving pink squares! Try to get to the green square without them hitting you. You may have to get to the orange square as well. I don't really know to be honest.,1,Bkh-iyIgu,4,Avoid the moving pink squares! Try to get to the green square without them hitting you.,SkvhnGUxO,84,"['Avoid the moving pink squares! Try to get to the green square without them hitting you.', ""ADD( You may have to get to the orange square as well. I don't really know to be honest.)""]",0.0,84.0,87.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,plaqueattack_v1,8,"Avoid the orange squares, you will lose points! Just that!",1,Bkh-iyIgu,4,"Avoid the orange squares, you will lose points!",SkvhnGUxO,11,"['Avoid the orange squares, you will lose points!', 'ADD( Just that!)']",0.0,11.0,47.0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,4,Use the spacebar to turn the purple squares back to green and avoid the beige square.,SkvhnGUxO,0,['Use the spacebar to turn the purple squares back to green and avoid the beige square.'],0.0,0.0,85.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,explore_exploit_v1,0,"Remember to use your arrows. Tap the arrows, holding them down won't move you. Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :)",1,Bkh-iyIgu,5,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :),Byza-lPlO,79,"[""ADD(Remember to use your arrows. Tap the arrows, holding them down won't move you. )"", 'Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :)']",0.0,79.0,130.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,preconditions_v1,1,"The goal is to get the yellow squares. Get as many of the white squares for protection as you need to access the yellow square. One white square for protection from one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",1,Bkh-iyIgu,5,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",Byza-lPlO,57,"['The goal is to get the yellow squares. Get a', 'DEL(ll)', 'ADD(s many of)', ' the white squares for protection ', 'ADD(as)', 'DEL(from)', ' ', 'DEL(the)', 'ADD(you)', ' ', 'DEL(gree)', 'n', 'ADD(eed to access the yellow square)', '. One white square for ', 'ADD(protection from )', 'one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!']",8.0,56.0,321.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,push_boulders_v1,2,"The goal is to get the yellow block. Watch out for the red blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move, don't get yourself stuck behind a green square. Look at where you want to go before you make your move.",1,Bkh-iyIgu,5,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.,Byza-lPlO,53,"['The goal is to get the yellow block. Watch out for the ', 'DEL(o)', 'r', 'DEL(ang)', 'e', 'ADD(d)', ' blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move', ""ADD(, don't get yourself stuck behind a green square)"", '. Look at where you want to go before you make your move.']",4.0,49.0,234.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,watergame_v1,3,"Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other, otherwise you'll become stuck. Figure out your route before you start.",1,Bkh-iyIgu,5,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start.,Byza-lPlO,31,"[""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other"", ""ADD(, otherwise you'll become stuck)"", '. Figure out your route before you start.']",0.0,31.0,233.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,relational_v1,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares. This game seems to be missing the purple squares. ",1,Bkh-iyIgu,5,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares.",Byza-lPlO,51,"[""You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares."", 'ADD( This game seems to be missing the purple squares. )']",0.0,51.0,213.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,sokoban_v1,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares. This is good advice!,1,Bkh-iyIgu,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares.,Byza-lPlO,21,"[""The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares."", 'ADD( This is good advice!)']",0.0,21.0,218.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square. Try to break down as many grey squares as quickly as possible. ,1,Bkh-iyIgu,5,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.,Byza-lPlO,64,"['You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.', 'ADD( Try to break down as many grey squares as quickly as possible. )']",0.0,64.0,210.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,zelda_v1,7,Avoid any moving squares! Try to get to the green square and red square without them hitting you. ,1,Bkh-iyIgu,5,Avoid the moving pink squares! Try to get to the green square without them hitting you. You may have to get to the orange square as well. I don't really know to be honest.,Byza-lPlO,98,"['Avoid ', 'DEL(the)', 'ADD(any)', ' moving', 'DEL( pink)', ' squares! Try to get to the green square ', 'ADD(and red square )', 'without them hitting you. ', ""DEL(You may have to get to the orange square as well. I don't really know to be honest.)""]",91.0,18.0,80.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,plaqueattack_v1,8,"Avoid the orange squares, you will lose points! Just that!",1,Bkh-iyIgu,5,"Avoid the orange squares, you will lose points! Just that!",Byza-lPlO,0,"['Avoid the orange squares, you will lose points! Just that!']",0.0,0.0,58.0
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,5,Use the spacebar to turn the purple squares back to green and avoid the beige square.,Byza-lPlO,0,['Use the spacebar to turn the purple squares back to green and avoid the beige square.'],0.0,0.0,85.0
COGSCI21-LIVINGDOC-ITER-FR-1,BkYkm7Dl_,B1gFkX7Dgd,explore_exploit_v1,0,"Remember to use your arrows. Tap the arrows, holding them down won't move you. Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. the more you get the colors, the higher your accumulative scores This is very good advice :)",1,Bkh-iyIgu,6,"Remember to use your arrows. Tap the arrows, holding them down won't move you. Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :)",r1rLNZPxO,65,"[""Remember to use your arrows. Tap the arrows, holding them down won't move you. Get all the green squares as fast as you can to win the game! Light orange moves on to the next level."", 'ADD( the more you get the colors, the higher your accumulative scores)', ' This is very good advice :)']",0.0,65.0,209.0
